Time,Pitch,SetPitch,ControlSignal,Kp,1/Ti,Td,UPRIGHT
0.0,180.33,180.0,-2.94,9.0,0.0,0.0,180.0
0.0,180.42,180.0,-3.7,9.0,0.0,0.0,180.0
0.0,180.41,180.0,-3.83,9.0,0.0,0.0,180.0
0.0,180.14,180.0,-1.5,9.0,0.0,0.0,180.0
0.0,180.26,180.0,-2.0,9.0,0.0,0.0,180.0
0.0,180.36,180.0,-3.32,9.0,0.0,0.0,180.0
0.0,180.08,180.0,-0.99,9.0,0.0,0.0,180.0
0.0,179.87,180.0,1.14,9.0,0.0,0.0,180.0
0.0,179.93,180.0,0.77,9.0,0.0,0.0,180.0
0.0,180.07,180.0,-0.62,9.0,0.0,0.0,180.0
0.0,179.84,180.0,1.15,9.0,0.0,0.0,180.0
0.0,179.7,180.0,2.72,9.0,0.0,0.0,180.0
0.0,179.75,180.0,2.34,9.0,0.0,0.0,180.0
0.0,179.97,180.0,0.51,9.0,0.0,0.0,180.0
0.0,180.24,180.0,-1.94,9.0,0.0,0.0,180.0
0.0,180.28,180.0,-2.56,9.0,0.0,0.0,180.0
0.0,180.31,180.0,-2.63,9.0,0.0,0.0,180.0
0.0,180.51,180.0,-4.45,9.0,0.0,0.0,180.0
0.0,180.6,180.0,-5.4,9.0,0.0,0.0,180.0
0.0,180.5,180.0,-4.58,9.0,0.0,0.0,180.0
0.0,180.43,180.0,-3.82,9.0,0.0,0.0,180.0
0.0,180.49,180.0,-4.39,9.0,0.0,0.0,180.0
0.0,180.47,180.0,-4.33,9.0,0.0,0.0,180.0
0.0,180.39,180.0,-3.57,9.0,0.0,0.0,180.0
0.0,180.4,180.0,-3.38,9.0,0.0,0.0,180.0
0.0,180.62,180.0,-5.46,9.0,0.0,0.0,180.0
0.0,180.58,180.0,-5.33,9.0,0.0,0.0,180.0
0.0,180.4,180.0,-3.7,9.0,0.0,0.0,180.0
0.0,180.42,180.0,-3.7,9.0,0.0,0.0,180.0
0.0,180.56,180.0,-4.95,9.0,0.0,0.0,180.0
0.0,180.56,180.0,-5.08,9.0,0.0,0.0,180.0
0.0,180.56,180.0,-5.02,9.0,0.0,0.0,180.0
0.0,180.55,180.0,-4.95,9.0,0.0,0.0,180.0
0.0,180.52,180.0,-4.76,9.0,0.0,0.0,180.0
0.0,180.51,180.0,-4.57,9.0,0.0,0.0,180.0
0.0,180.44,180.0,-4.06,9.0,0.0,0.0,180.0
0.0,180.28,180.0,-2.61,9.0,0.0,0.0,180.0
0.0,180.17,180.0,-1.67,9.0,0.0,0.0,180.0
0.0,179.91,180.0,-0.35,9.0,0.0,0.0,180.0
0.0,179.98,180.0,0.14,9.0,0.0,0.0,180.0
0.0,179.86,180.0,1.27,9.0,0.0,0.0,180.0
0.0,179.98,180.0,0.21,9.0,0.0,0.0,180.0
0.0,180.03,180.0,-0.3,9.0,0.0,0.0,180.0
0.0,180.02,180.0,-0.3,9.0,0.0,0.0,180.0
0.0,179.89,180.0,0.96,9.0,0.0,0.0,180.0
0.0,179.91,180.0,0.9,9.0,0.0,0.0,180.0
0.0,180.03,180.0,-0.18,9.0,0.0,0.0,180.0
0.0,180.11,180.0,-1.0,9.0,0.0,0.0,180.0
0.0,179.88,180.0,1.37,9.0,0.0,0.0,180.0
0.0,180.06,180.0,-0.5,9.0,0.0,0.0,180.0
0.0,180.05,180.0,-0.37,9.0,0.0,0.0,180.0
